full_name,table_schema,table_name,ordinal_position,column_name,data_type,comment
access.audit,access,audit,12,request_params,"map<string,string>",A map of key/value pairs with the request parameters. Request parameters vary by request type. See [documentation of request parameters per action](https://docs.databricks.com/aws/admin/account-settings/audit-logs) for details.
access.audit,access,audit,13,response,"struct<status_code:int,error_message:string,result:string>","Struct of response, includes status_code, error_messages, and where applicable a result string. status_code is an HTTP status code."
access.audit,access,audit,14,audit_level,string,Indicates whether the audit event is at the workspace or account level. Either `ACCOUNT_LEVEL` or `WORKSPACE_LEVEL`.
access.audit,access,audit,15,event_id,string,A unique identifier of the audit event.
access.audit,access,audit,16,identity_metadata,"struct<run_by:string,run_as:string,acting_resource:string,run_by_display_name:string,run_as_display_name:string>",A struct with the identities from the audit event. This includes `run_by` (the identity who initiated the event) and `run_as` (the identity being used for authorisation purposes). See [Auditing group dedicated compute activity documentation](https://docs.databricks.com/aws/compute/group-access#auditing-group-dedicated-compute-activity) for more details.
access.clean_room_events,access,clean_room_events,0,account_id,string,The ID of the Databricks account.
access.clean_room_events,access,clean_room_events,1,metastore_id,string,The ID of the Unity Catalog metastore.
access.clean_room_events,access,clean_room_events,2,event_id,string,The ID of the clean room event
access.clean_room_events,access,clean_room_events,3,clean_room_name,string,Name of the clean room associated with the event
access.clean_room_events,access,clean_room_events,4,central_clean_room_id,string,The ID of central clean room
access.clean_room_events,access,clean_room_events,5,initiator_global_metastore_id,string,Global metastore ID of the collaborator who initiated the event
access.clean_room_events,access,clean_room_events,6,event_type,string,The type of the event. See [Logged clean room events](https://docs.databricks.com/en/admin/system-tables/clean-rooms.html#events).
access.clean_room_events,access,clean_room_events,7,clean_room_created_metadata,"struct<collaborators:array<struct<collaborator_global_metastore_id:string,collaborator_alias:string>>,egress_network_policy:struct<internet_access:struct<restriction_mode:string,allowed_internet_destinations:array<struct<destination:string,type:string,protocol:string>>>>,compliance_profile:struct<is_enabled:boolean,compliance_standards:array<string>>>",The metadata of the event type CLEAN_ROOM_CREATED
access.clean_room_events,access,clean_room_events,8,clean_room_deleted_metadata,struct<central_clean_room_id:string>,The metadata of the event type CLEAN_ROOM_DELETED
access.clean_room_events,access,clean_room_events,9,run_notebook_started_metadata,"struct<notebook_name:string,notebook_checksum:string,run_id:string,notebook_etag:string,notebook_update_time:timestamp>",The metadata of the event type RUN_NOTEBOOK_STARTED
access.clean_room_events,access,clean_room_events,10,run_notebook_completed_metadata,"struct<notebook_name:string,run_id:string,state:string,duration_in_seconds:int,output_schema:struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp,assets_added:array<struct<name:string,data_object_type:string>>>>",The metadata of the event type RUN_NOTEBOOK_COMPLETED
access.clean_room_events,access,clean_room_events,11,clean_room_assets_updated_metadata,"struct<added_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,updated_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,removed_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>>",The metadata of the event type CLEAN_ROOM_ASSETS_UPDATED
access.clean_room_events,access,clean_room_events,12,event_time,timestamp,Timestamp when the event took place
access.clean_room_events,access,clean_room_events,13,output_schema_deleted_metadata,"struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp>",The metadata of the event type OUTPUT_SCHEMA_DELETED
access.clean_room_events,access,clean_room_events,14,initiator_collaborator_alias,string,The alias of the collaborator who initiated the event
access.clean_room_events,access,clean_room_events,15,asset_review_created_metadata,"struct<asset_name:string,data_object_type:string,review_state:string,review_sub_reason:string,auto_approval_rule_id:string,notebook_metadata:struct<etag:string>>",The metadata of the event type ASSET_REVIEW_CREATED
access.column_lineage,access,column_lineage,0,account_id,string,The id of the Databricks account.
access.column_lineage,access,column_lineage,1,metastore_id,string,The id of the Unity Catalog metastore.
access.column_lineage,access,column_lineage,2,workspace_id,string,The id of the workspace
access.column_lineage,access,column_lineage,3,entity_type,string,"The type of entity the lineage transaction was captured from. The supported value is NOTEBOOK, JOB, PIPELINE, DASHBOARD_V3 (AI/BI Dashboard), DBSQL_DASHBOARD (Legacy dashboard), DBSQL_QUERY, OR NULL."
access.column_lineage,access,column_lineage,4,entity_id,string,"The id of the entity the lineage transaction was captured from. If entity_type is NULL, entity_id is NULL."
access.column_lineage,access,column_lineage,5,entity_run_id,string,"id to describe the unique run of the entity, or NULL. This differs for each entity type:

Notebook: command_run_id

Job: job_run_id

Databricks SQL query: statement_id

Dashboard: statement_id

Legacy dashboard: statement_id

Pipeline: pipeline_update_id

If entity_type is NULL, entity_run_id is NULL. Records with statement_id and job_run_id can be joined with the query history and jobs system tables respectively."
access.column_lineage,access,column_lineage,6,source_table_full_name,string,Three-level name to identify the source table.
access.column_lineage,access,column_lineage,7,source_table_catalog,string,The catalog of the source table.
access.column_lineage,access,column_lineage,8,source_table_schema,string,The schema of the source table.
access.column_lineage,access,column_lineage,9,source_table_name,string,The name of the source table.
access.column_lineage,access,column_lineage,10,source_path,string,"Location in cloud storage of the source table, or the path if it’s reading from cloud storage directly."
access.column_lineage,access,column_lineage,11,source_type,string,"The type of the source. The value is TABLE, PATH, VIEW, MATERIALIZED_VIEW, METRIC_VIEW, or STREAMING_TABLE."
access.column_lineage,access,column_lineage,12,source_column_name,string,The name of the source column.
access.column_lineage,access,column_lineage,13,target_table_full_name,string,Three-level name to identify the target table.
access.column_lineage,access,column_lineage,14,target_table_catalog,string,The catalog of the target table.
access.column_lineage,access,column_lineage,15,target_table_schema,string,The schema of the target table.
access.column_lineage,access,column_lineage,16,target_table_name,string,The name of the target table.
access.column_lineage,access,column_lineage,17,target_path,string,Location in cloud storage of the target table.
access.column_lineage,access,column_lineage,18,target_type,string,"The type of the target. The value is TABLE, PATH, VIEW, MATERIALIZED_VIEW, METRIC_VIEW, or STREAMING_TABLE."
access.column_lineage,access,column_lineage,19,target_column_name,string,The name of the target column.
access.column_lineage,access,column_lineage,20,created_by,string,"The user who generated this lineage. This can be a Databricks username, a Databricks service principal ID, a Databricks group name, “System-User”, or NULL if the user information cannot be captured."
access.column_lineage,access,column_lineage,21,event_time,timestamp,The timestamp when the lineage was generated. Timezone information is recorded at the end of the value with +00:00 representing UTC.
access.column_lineage,access,column_lineage,22,event_date,date,The date when the lineage was generated. This is a partitioned column.
access.column_lineage,access,column_lineage,23,record_id,string,"Primary key of each row, it is auto-generated and cannot be joined with any tables"
access.column_lineage,access,column_lineage,24,event_id,string,"One query or one spark job run could append multiple lineage rows, this event_id is a unique id to group the rows that belong to the same event. This is generated in the pipeline and cannot be joined with any tables."
access.column_lineage,access,column_lineage,25,statement_id,string,A foreign key to join with query history system table. It is set when a query is from a warehouse or serverless warehouse.
access.column_lineage,access,column_lineage,26,entity_metadata,"struct<job_info:struct<job_id:string,job_run_id:string>,dashboard_id:string,legacy_dashboard_id:string,notebook_id:string,sql_query_id:string,dlt_pipeline_info:struct<dlt_pipeline_id:string,dlt_update_id:string>,genie_space_id:string,alert_id:string>",It is a list of ids of the query context which is joinable with other system tables.
access.column_lineage,access,column_lineage,27,direct_access,boolean,Indicates whether the lineage relationship is a direct access. False if the access is indirect (e.g. via view expansion).
access.inbound_network,access,inbound_network,0,account_id,string,The ID of the Databricks account
access.inbound_network,access,inbound_network,1,workspace_id,string,The ID of the workspace where the event occurred
access.inbound_network,access,inbound_network,2,event_id,string,The ID of the event
access.inbound_network,access,inbound_network,3,request_path,string,The destination of the request
access.inbound_network,access,inbound_network,4,source,struct<ip:string>,The source of the request
access.inbound_network,access,inbound_network,5,authenticated_as,string,"The authenticated identity of the request. Can be a user email, service principal application ID, group name, 'users', or 'account users'"
access.inbound_network,access,inbound_network,6,event_time,timestamp,Timestamp when the event took place
access.inbound_network,access,inbound_network,7,policy_outcome,string,Type of access event that occurred. The value can only be 'DENIED' or 'DRY_RUN_DENIAL'
access.inbound_network,access,inbound_network,8,rule_label,string,The label of the ingress rule that denied the request.
access.outbound_network,access,outbound_network,0,account_id,string,The ID of the Databricks account
access.outbound_network,access,outbound_network,1,workspace_id,string,The ID of the workspace where the event occurred
access.outbound_network,access,outbound_network,2,destination_type,string,"The type of destination. Possible values are DNS, IP, and STORAGE"
access.outbound_network,access,outbound_network,3,destination,string,"Details of the destination. Depending on the destination type, the value could be a domain name, IP address, or storage location."
access.outbound_network,access,outbound_network,4,dns_event,"struct<domain_name:string,rcode:int,rdata:array<string>>","Details about the DNS destination. Only populates for DNS destinations, otherwise the field is NULL."
access.outbound_network,access,outbound_network,5,storage_event,"struct<hostname:string,path:string,rejection_reason:string,rdata:array<string>>","Details about the storage destination. Only populates for storage destinations, otherwise the field is NULL."
access.outbound_network,access,outbound_network,6,event_time,timestamp,Timestamp when the event took place
access.outbound_network,access,outbound_network,7,access_type,string,Type of access event that occurred.
access.outbound_network,access,outbound_network,8,event_id,string,The ID of the event
access.outbound_network,access,outbound_network,9,network_source_type,string,"The source type of the network event, mainly for customer debugging"
access.table_lineage,access,table_lineage,0,account_id,string,The id of the Databricks account.
access.table_lineage,access,table_lineage,1,metastore_id,string,The id of the Unity Catalog metastore.
access.table_lineage,access,table_lineage,2,workspace_id,string,The id of the workspace
access.table_lineage,access,table_lineage,3,entity_type,string,"The type of entity the lineage transaction was captured from. The value is NOTEBOOK, JOB, PIPELINE, DASHBOARD_V3 (Dashboard), DBSQL_DASHBOARD (Legacy dashboard), DBSQL_QUERY, OR NULL."
access.table_lineage,access,table_lineage,4,entity_id,string,"The ID of the entity the lineage transaction was captured from. If entity_type is NULL, entity_id is NULL."
access.table_lineage,access,table_lineage,5,entity_run_id,string,"id to describe the unique run of the entity, or NULL. This differs for each entity type:

Notebook: command_run_id

Job: job_run_id

Databricks SQL query: statement_id

Dashboard: statement_id

Legacy dashboard: statement_id

Pipeline: pipeline_update_id

If entity_type is NULL, entity_run_id is NULL. Records with statement_id and job_run_id can be joined with the query history and jobs system tables respectively."
access.table_lineage,access,table_lineage,6,source_table_full_name,string,Three-part name to identify the source table.
access.table_lineage,access,table_lineage,7,source_table_catalog,string,The catalog of the source table.
access.table_lineage,access,table_lineage,8,source_table_schema,string,The schema of the source table.
access.table_lineage,access,table_lineage,9,source_table_name,string,The name of the source table.
access.table_lineage,access,table_lineage,10,source_path,string,"Location in cloud storage of the source table, or the path if it’s reading from cloud storage directly."
access.table_lineage,access,table_lineage,11,source_type,string,"The type of the source. The value is TABLE, PATH, VIEW, MATERIALIZED_VIEW, METRIC_VIEW, or STREAMING_TABLE."
access.table_lineage,access,table_lineage,12,target_table_full_name,string,Three-part name to identify the target table.
access.table_lineage,access,table_lineage,13,target_table_catalog,string,The catalog of the target table.
access.table_lineage,access,table_lineage,14,target_table_schema,string,The schema of the target table.
access.table_lineage,access,table_lineage,15,target_table_name,string,The name of the target table.
access.table_lineage,access,table_lineage,16,target_path,string,Location in cloud storage of the target table.
access.table_lineage,access,table_lineage,17,target_type,string,"The type of the target. The value is TABLE, PATH, VIEW, MATERIALIZED_VIEW, METRIC_VIEW, or STREAMING_TABLE."
access.table_lineage,access,table_lineage,18,created_by,string,"The user who generated this lineage. This can be a Databricks username, a Databricks service principal ID, a Databricks group name, “System-User”, or NULL if the user information cannot be captured."
access.table_lineage,access,table_lineage,19,event_time,timestamp,The timestamp when the lineage was generated. Timezone information is recorded at the end of the value with +00:00 representing UTC.
access.table_lineage,access,table_lineage,20,event_date,date,The date when the lineage was generated. This is a partitioned column.
access.table_lineage,access,table_lineage,21,record_id,string,"Primary key of each row, it is auto-generated and cannot be joined with any tables"
access.table_lineage,access,table_lineage,22,event_id,string,"One query or one spark job run could append multiple lineage rows, this event_id is a unique id to group the rows that belong to the same event. This is generated in the pipeline and cannot be joined with any tables."
access.table_lineage,access,table_lineage,23,statement_id,string,A foreign key to join with query history system table. It is set when a query is from a warehouse or serverless warehouse.
access.table_lineage,access,table_lineage,24,entity_metadata,"struct<job_info:struct<job_id:string,job_run_id:string>,dashboard_id:string,legacy_dashboard_id:string,notebook_id:string,sql_query_id:string,dlt_pipeline_info:struct<dlt_pipeline_id:string,dlt_update_id:string>,genie_space_id:string,alert_id:string>",It is a list of ids of the query context which is joinable with other system tables.
access.table_lineage,access,table_lineage,25,direct_access,boolean,Indicates whether the lineage relationship is a direct access. False if the access is indirect (e.g. via view expansion).
access.workspaces_latest,access,workspaces_latest,0,account_id,string,The ID of the parent account of this workspace.
access.workspaces_latest,access,workspaces_latest,1,workspace_id,string,The ID of the workspace.
access.workspaces_latest,access,workspaces_latest,2,workspace_name,string,The human-readable name of the workspace.
access.workspaces_latest,access,workspaces_latest,3,workspace_url,string,URL of the databricks workspace.
access.workspaces_latest,access,workspaces_latest,4,create_time,timestamp,Timestamp of when the workspace was created.
access.workspaces_latest,access,workspaces_latest,5,status,string,Lifecycle status of the workspace: NOT_PROVISIONED | PROVISIONING | RUNNING | FAILED | BANNED
ai_gateway.external_model_spend,ai_gateway,external_model_spend,0,record_id,string,Unique ID for this aggregated spend record
ai_gateway.external_model_spend,ai_gateway,external_model_spend,1,account_id,string,The Databricks account ID
ai_gateway.external_model_spend,ai_gateway,external_model_spend,2,workspace_id,string,The ID of the Databricks workspace where the AI Gateway endpoint is configured
ai_gateway.external_model_spend,ai_gateway,external_model_spend,3,usage_date,date,Date of the usage record (derived from `usage_start_time`)
ai_gateway.external_model_spend,ai_gateway,external_model_spend,4,usage_start_time,timestamp,Start of the hourly aggregation window in UTC
ai_gateway.external_model_spend,ai_gateway,external_model_spend,5,usage_end_time,timestamp,End of the hourly aggregation window in UTC
ai_gateway.external_model_spend,ai_gateway,external_model_spend,6,ingestion_date,date,Date when this record was ingested into the spend table
ai_gateway.external_model_spend,ai_gateway,external_model_spend,7,usage_metadata,"struct<provider:string,model:string,endpoint_id:string,endpoint_name:string,destination_id:string,destination_name:string>",System-provided metadata about the external model usage
ai_gateway.external_model_spend,ai_gateway,external_model_spend,8,custom_tags,"struct<endpoint_tags:map<string,string>,request_tags:map<string,string>>",User-provided tags for cost attribution and aggregation
ai_gateway.external_model_spend,ai_gateway,external_model_spend,9,usage_unit,string,Unit of measurement for usage_quantity (always USD)
ai_gateway.external_model_spend,ai_gateway,external_model_spend,10,usage_quantity,"decimal(38,18)",Total cost in USD for this aggregated time window and dimension combination
ai_gateway.external_model_spend,ai_gateway,external_model_spend,11,pricing_metadata,"struct<service_tier:string,long_context:boolean>",Metadata explaining which pricing tier or threshold was applied from the pricing catalog
ai_gateway.external_model_spend,ai_gateway,external_model_spend,12,identity_metadata,"struct<run_by:string,run_as:string>",Identity information about who initiated the requests in this aggregation
ai_gateway.usage,ai_gateway,usage,0,account_id,string,The account id
ai_gateway.usage,ai_gateway,usage,1,workspace_id,string,The workspace id of the AI Gateway endpoint
ai_gateway.usage,ai_gateway,usage,2,request_id,string,The API proxy generated request identifier (or AI Gateway generated UUID if proxy ID doesn't exist)
ai_gateway.usage,ai_gateway,usage,3,schema_version,int,The version of the event schema (to support schema evolution)
ai_gateway.usage,ai_gateway,usage,4,endpoint_id,string,The UUID of the AI Gateway entity
ai_gateway.usage,ai_gateway,usage,5,endpoint_name,string,The name of the top level AI Gateway entity
ai_gateway.usage,ai_gateway,usage,6,endpoint_tags,"map<string,string>","The static tags configured on the endpoint, for the purpose of usage table aggregation and visualization"
ai_gateway.usage,ai_gateway,usage,7,endpoint_metadata,"struct<creator:string,creation_time:timestamp,last_updated_time:timestamp,destinations:array<struct<name:string,traffic_percent:double,type:string>>,inference_table:string,fallbacks:array<struct<name:string,traffic_percent:double,type:string>>>",The endpoint level metadata
ai_gateway.usage,ai_gateway,usage,8,event_time,timestamp,The timestamp at which request is received
ai_gateway.usage,ai_gateway,usage,9,latency_ms,bigint,The latency from AI Gateway received the client request to the completion of forwarding the proxy response
ai_gateway.usage,ai_gateway,usage,10,time_to_first_byte_ms,bigint,The latency from AI Gateway received the client request to receiving the first byte array of the proxy response
ai_gateway.usage,ai_gateway,usage,11,destination_type,string,The destination type
ai_gateway.usage,ai_gateway,usage,12,destination_name,string,The name of the destination object - the endpoint name or the PPT UC model name
ai_gateway.usage,ai_gateway,usage,13,destination_id,string,The ID of the destination - the endpoint ID or the PPT UC model id
ai_gateway.usage,ai_gateway,usage,14,destination_model,string,"The foundation model name (e.g., 'gpt-5-mini', 'meta-llama-3.3-70b-instruct')"
ai_gateway.usage,ai_gateway,usage,15,requester,string,The name or email of the user or service principal whose permissions are used for the invocation request
ai_gateway.usage,ai_gateway,usage,16,requester_type,string,The type of the requester
ai_gateway.usage,ai_gateway,usage,17,ip_address,string,"The ip address of the client, if it's not from a databricks service. If the client is a databricks service, the ip_address will be null"
ai_gateway.usage,ai_gateway,usage,18,url,string,The request URL received by AI Gateway
ai_gateway.usage,ai_gateway,usage,19,user_agent,string,"The user agent of the client, if it's not from a databricks service"
ai_gateway.usage,ai_gateway,usage,20,api_type,string,The API type of the request
ai_gateway.usage,ai_gateway,usage,21,request_tags,"map<string,string>","The tags provided in the request body, for the purpose of usage table aggregation and visualization"
ai_gateway.usage,ai_gateway,usage,22,input_tokens,bigint,The total count of input tokens. The value will be null if the token count is not available in the response
ai_gateway.usage,ai_gateway,usage,23,output_tokens,bigint,The total count of output tokens. The value will be null if the token count is not available in the response
ai_gateway.usage,ai_gateway,usage,24,total_tokens,bigint,The sum of input tokens and output tokens. The value will be null if the token count is not available in the response
ai_gateway.usage,ai_gateway,usage,25,token_details,"struct<cache_read_input_tokens:bigint,cache_creation_input_tokens:bigint,output_reasoning_tokens:bigint>",A more detailed breakdown of the token usages. It includes the details of some major foundation models
ai_gateway.usage,ai_gateway,usage,26,response_content_type,string,The content of the Content-Type response header. Indicates whether the response is streaming mode or not
ai_gateway.usage,ai_gateway,usage,27,status_code,int,The final HTTP status code returned by the endpoint
ai_gateway.usage,ai_gateway,usage,28,routing_information,"struct<attempts:array<struct<priority:string,action:string,destination:string,destination_id:string,status_code:int,error_code:string,latency_ms:bigint,start_time:timestamp,end_time:timestamp>>>","Detailed routing information, for primary destination and fallbacks"
ai_gateway.usage,ai_gateway,usage,29,invocation_id,string,"A unique identifier generated by AI Gateway for each individual inference call. Distinguishes multiple calls that share the same request_id (e.g., multi-turn agent calls, guardrail checks)"
ai_gateway.usage,ai_gateway,usage,30,invocation_metadata,"struct<source:string,service_tier:string>",System-generated metadata about this inference call
ai_gateway.usage,ai_gateway,usage,31,service_type,string,"The type of service that generated this usage log. One of: MODEL_SERVICE, MCP_SERVICE, MODEL_PROVIDER_SERVICE"
ai_gateway.usage,ai_gateway,usage,32,service_id,string,"The ID of the service (MCP service, endpoint, etc.)"
ai_gateway.usage,ai_gateway,usage,33,service_name,string,"The Unity Catalog fully-qualified name of the service (e.g., 'main.default.github_tools')"
ai_gateway.usage,ai_gateway,usage,34,service_tags,"map<string,string>","Tags set for the service, for the purpose of usage table aggregation and visualization"
ai_gateway.usage,ai_gateway,usage,35,mcp_metadata,"struct<tool_name:string,server_type:string,client_name:string,json_rpc_method:string>","MCP service specific metadata. Populated when service_type is MCP_SERVICE, null otherwise"
billing.list_prices,billing,list_prices,0,account_id,string,ID of the account this report was generated for
billing.list_prices,billing,list_prices,1,price_start_time,timestamp,The time this price became effective in UTC
billing.list_prices,billing,list_prices,2,price_end_time,timestamp,The time this price stopped being effective in UTC
billing.list_prices,billing,list_prices,3,sku_name,string,Name of the SKU
billing.list_prices,billing,list_prices,4,cloud,string,"Name of the Cloud this price is applicable to. Possible values are AWS, AZURE, and GCP."
billing.list_prices,billing,list_prices,5,currency_code,string,The currency this price is expressed in
billing.list_prices,billing,list_prices,6,usage_unit,string,The unit of measurement that is monetized.
billing.list_prices,billing,list_prices,7,pricing,"struct<default:decimal(38,18),promotional:struct<default:decimal(38,18)>,effective_list:struct<default:decimal(38,18)>>","A structured data field that includes pricing info at the published list price rate. The key default will always return a single price that can be used for simple long-term estimates. The key promotional represents a temporary promotional price that all customers get which could be used for cost estimation during the temporary period. The key effective_list resolves list and promotional price, and contains the effective list price used for calculating the cost."
billing.usage,billing,usage,0,account_id,string,ID of the account this report was generated for
billing.usage,billing,usage,1,workspace_id,string,ID of the Workspace this usage was associated with
billing.usage,billing,usage,2,record_id,string,Unique ID for this usage record
billing.usage,billing,usage,3,sku_name,string,Name of the SKU
billing.usage,billing,usage,4,cloud,string,"Cloud this usage is relevant for. Possible values are AWS, AZURE, and GCP."
billing.usage,billing,usage,5,usage_start_time,timestamp,The start time relevant to this usage record. Timezone information is recorded at the end of the value with +00:00 representing UTC timezone.
billing.usage,billing,usage,6,usage_end_time,timestamp,The end time relevant to this usage record. Timezone information is recorded at the end of the value with +00:00 representing UTC timezone.
billing.usage,billing,usage,7,usage_date,date,"Date of the usage record, this field can be used for faster aggregation by date"
billing.usage,billing,usage,8,custom_tags,"map<string,string>",Tags applied by the users to this usage. Includes compute resource tags and jobs tags.
billing.usage,billing,usage,9,usage_unit,string,Unit this usage is measured in. Possible values include DBUs.
billing.usage,billing,usage,10,usage_quantity,"decimal(38,18)",Number of units consumed for this record.
billing.usage,billing,usage,11,usage_metadata,"struct<cluster_id:string,job_id:string,warehouse_id:string,instance_pool_id:string,node_type:string,job_run_id:string,notebook_id:string,dlt_pipeline_id:string,endpoint_name:string,endpoint_id:string,dlt_update_id:string,dlt_maintenance_id:string,run_name:string,job_name:string,notebook_path:string,central_clean_room_id:string,source_region:string,destination_region:string,app_id:string,app_name:string,metastore_id:string,private_endpoint_name:string,storage_api_type:string,budget_policy_id:string,ai_runtime_pool_id:string,ai_runtime_workload_id:string,uc_table_catalog:string,uc_table_schema:string,uc_table_name:string,database_instance_id:string,sharing_materialization_id:string,schema_id:string,usage_policy_id:string,base_environment_id:string,agent_bricks_id:string,index_id:string,catalog_id:string,project_id:string,branch_id:string,table_id:string,supervisor_agent_id:string,networking_client:string,associated_product:string,recipient_id:string,interactive_source:string,snapshot_id:string,ai_gateway:struct<endpoint_name:string,endpoint_id:string,destination_id:string,destination_model:string>,genie:struct<surface:string,channel:string,agent_id:string>,data_source:string,operation:string,serverless_compute_id:string>","System-provided metadata about the usage, including IDs for compute resources and jobs (if applicable). See [Analyze usage metadata](https://docs.databricks.com/en/admin/system-tables/billing.html#usage-metadata)."
billing.usage,billing,usage,12,identity_metadata,"struct<run_as:string,created_by:string,owned_by:string,run_by:string>",System-provided metadata about the identities involved in the usage. See [Analyze identity metadata](https://docs.databricks.com/en/admin/system-tables/billing.html#identity-metadata).
billing.usage,billing,usage,13,record_type,string,"Whether the record is original, a retraction, or a restatement. The value is ORIGINAL unless the record is related to a correction. See [Analyze correction records](https://docs.databricks.com/en/admin/system-tables/billing.html#record-type)."
billing.usage,billing,usage,14,ingestion_date,date,Date the record was ingested into the usage table.
billing.usage,billing,usage,15,billing_origin_product,string,"The product that originated the usage. Some products can be billed as different SKUs. For possible values, see [View information about the product associated with the usage](https://docs.databricks.com/en/admin/system-tables/billing.html#features)."
billing.usage,billing,usage,16,product_features,"struct<jobs_tier:string,sql_tier:string,dlt_tier:string,is_serverless:boolean,is_photon:boolean,serving_type:string,networking:struct<connectivity_type:string>,ai_runtime:struct<compute_type:string>,model_serving:struct<offering_type:string>,ai_gateway:struct<feature_type:string>,serverless_gpu:struct<workload_type:string>,agent_bricks:struct<problem_type:string,workload_type:string>,performance_target:string,ai_functions:struct<ai_function:string>,apps:struct<compute_size:string>,lakeflow_connect:struct<task_type:string,zerobus_request_type:string>,lakebase:struct<storage_type:string,compute_type:string>,ai_bi_genie:struct<capability_type:string,offering_type:string>,genie:struct<offering_type:string>>",Details about the specific product features used.
billing.usage,billing,usage,17,usage_type,string,"The type of usage attributed to the product or workload for billing purposes. Possible values are COMPUTE_TIME, STORAGE_SPACE, NETWORK_BYTES, API_CALLS, TOKEN, or GPU_TIME."
compute.clusters,compute,clusters,0,account_id,string,ID of the account where this cluster was created.
compute.clusters,compute,clusters,1,workspace_id,string,ID of the workspace where this cluster was created.
compute.clusters,compute,clusters,2,cluster_id,string,ID of the cluster for which this record is associated.
compute.clusters,compute,clusters,3,cluster_name,string,User defined name for the cluster.
compute.clusters,compute,clusters,4,owned_by,string,"Username of the cluster owner. Defaults to the cluster creator, but can be changed through the [Clusters API](https://docs.databricks.com/api/workspace/clusters/changeowner)."
compute.clusters,compute,clusters,5,create_time,timestamp,Timestamp of the change to this compute definition.
compute.clusters,compute,clusters,6,delete_time,timestamp,Timestamp of when the cluster was deleted. The value is null if the cluster is not deleted.
compute.clusters,compute,clusters,7,driver_node_type,string,Driver node type name. This matches the instance type name from the cloud provider.
compute.clusters,compute,clusters,8,worker_node_type,string,Worker node type name. This matches the instance type name from the cloud provider.
compute.clusters,compute,clusters,9,worker_count,bigint,Number of workers. Defined for fixed-size clusters only.
compute.clusters,compute,clusters,10,min_autoscale_workers,bigint,The set minimum number of workers. This field is valid only for autoscaling clusters.
compute.clusters,compute,clusters,11,max_autoscale_workers,bigint,The set maximum number of workers. This field is valid only for autoscaling clusters.
compute.clusters,compute,clusters,12,auto_termination_minutes,bigint,The configured autotermination duration.
compute.clusters,compute,clusters,13,enable_elastic_disk,boolean,Autoscaling disk enablement status.
compute.clusters,compute,clusters,14,tags,"map<string,string>",User-defined tags for the cluster (does not include default tags).
compute.clusters,compute,clusters,15,cluster_source,string,"Where the cluster was created. For all-purpose compute, the source could be `UI` or `API`. Other compute types are logged as `JOB`, `PIPELINE`, or `PIPELINE_MAINTENANCE`."
compute.clusters,compute,clusters,16,init_scripts,array<string>,Set of paths for init scripts.
